       x;        y;       s;         m
 851.500;   1106.0;     1.4;   5.323
 954.000;   1106.5;     1.4;   5.202
 779.500;   1108.0;     1.4;   5.852
 851.500;   1109.5;     1.4;   5.810
 885.000;   1111.5;     1.4;   5.368
 715.500;   1112.5;     1.4;   5.402
 909.500;   1117.0;     1.4;   5.246
 983.000;   1118.5;     1.4;   6.276
 849.000;   1119.0;     1.4;   5.948
 826.000;   1120.0;     1.4;   5.068
 893.000;   1126.0;     1.4;   5.071
 671.500;   1128.5;     1.4;   5.402
 816.500;   1128.5;     1.4;   7.030
 814.000;   1130.5;     1.4;   5.055
 816.000;   1131.5;     1.4;   5.814
 875.500;   1132.0;     1.4;   5.208
 649.500;   1132.5;     1.4;   5.636
 670.500;   1132.5;     1.4;   6.228
 677.500;   1132.5;     1.4;   5.746
 685.500;   1132.5;     1.4;   6.093
 688.500;   1132.5;     1.4;   5.145
 704.000;   1132.5;     1.4;   7.641
 723.000;   1132.5;     1.4;   5.876
 732.000;   1132.5;     1.4;   5.345
 620.000;   1133.0;     1.4;   6.639
 624.500;   1133.0;     1.4;   6.274
 633.000;   1133.0;     1.4;   5.873
 666.000;   1133.0;     1.4;   5.108
 696.500;   1133.0;     1.4;   6.200
 720.000;   1133.0;     1.4;   7.098
 736.500;   1133.0;     1.4;   5.978
 590.500;   1133.5;     1.4;   5.307
 599.000;   1133.5;     1.4;   5.693
 607.500;   1133.5;     1.4;   5.139
 611.500;   1133.5;     1.4;   5.299
 744.000;   1133.5;     1.4;   5.263
 752.500;   1133.5;     1.4;   6.460
 773.500;   1133.5;     1.4;   5.870
 983.500;   1133.5;     1.4;   7.040
 558.500;   1134.0;     1.4;   6.090
 574.500;   1134.0;     1.4;   5.407
 582.500;   1134.0;     1.4;   5.161
 757.000;   1134.0;     1.4;   5.352
 786.000;   1134.0;     1.4;   6.024
 778.000;   1134.5;     1.4;   7.929
 782.000;   1134.5;     1.4;   6.083
 795.000;   1135.0;     1.4;   5.074
 803.500;   1135.0;     1.4;   6.974
 807.500;   1135.0;     1.4;   5.733
 811.500;   1135.0;     1.4;   6.486
 816.000;   1135.0;     1.4;   7.459
 820.500;   1135.0;     1.4;   6.039
 832.000;   1135.0;     1.4;   6.072
 845.000;   1135.0;     1.4;   6.162
 841.500;   1135.5;     1.4;   7.197
 857.500;   1136.0;     1.4;   5.115
 809.000;   1137.0;     1.4;   5.217
 843.000;   1137.0;     1.4;   5.321
 984.000;   1137.0;     1.4;   6.852
 926.000;   1137.5;     1.4;   7.823
 930.000;   1137.5;     1.4;   7.474
 949.000;   1137.5;     1.4;   6.662
 960.000;   1138.0;     1.4;   5.131
 832.500;   1156.5;     1.4;   5.281
 892.500;   1159.0;     1.4;   5.804
 802.500;   1159.5;     1.4;   5.660
 741.500;   1160.0;     1.4;   5.839
 788.500;   1160.0;     1.4;   5.667
 861.500;   1160.0;     1.4;   6.528
 700.000;   1162.0;     1.4;   5.685
 626.000;   1163.0;     1.4;   5.573
 456.000;   1163.5;     1.4;   6.139
 477.000;   1163.5;     1.4;   7.853
 486.500;   1163.5;     1.4;   5.808
 602.500;   1163.5;     1.4;   5.610
 789.500;   1163.5;     1.4;   7.123
 800.500;   1163.5;     1.4;   5.748
 810.500;   1163.5;     1.4;   5.133
 586.500;   1164.0;     1.4;   6.352
 817.500;   1164.0;     1.4;   6.913
 397.000;   1164.5;     1.4;   6.539
 481.000;   1165.0;     1.4;   6.126
 452.500;   1165.5;     1.4;   5.945
 494.000;   1165.5;     1.4;   6.083
 924.500;   1165.5;     1.4;   5.837
 939.500;   1165.5;     1.4;   6.580
